Nama Daerah,Detail,Harga,Tipe,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Lantai,Sertifikasi,Alamat Lokasi,Kecamatan,Kota,HGB,"Lainnya (PPJB, Girik, Adat, dll)",SHM
"Kebayoran Baru, Jakarta Selatan",4 KT - 4 KM - 110 m2,1750000000,Rumah,110,84,4,4,2,SHM - Sertifikat Hak Milik,Cipadu jaya larangan tangerang kota dekat univ budi luhur,Kebayoran Baru,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",2 KT - 2 KM - 72 m2,1000000000,Rumah,72,60,2,2,2,SHM - Sertifikat Hak Milik,Bintaro,Cilandak,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",4 KT - 4 KM - 100 m2,1650000000,Rumah,100,70,4,4,2,SHM - Sertifikat Hak Milik,Pondok aren bintaro dekat school ricci,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",4 KT - 3 KM - 300 m2,9900000000,Rumah,300,221,4,3,2,SHM - Sertifikat Hak Milik,"Jl. Kebalen 2, Blok S, Kebayoran Baru, Jakarta Selatan",Kebayoran Baru,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",3 KT - 2 KM - 50 m2,600000000,Rumah,50,38,3,2,2,SHM - Sertifikat Hak Milik,Depok,Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",5 KT - 4 KM - 225 m2,11000000000,Rumah,225,565,5,4,2,SHM - Sertifikat Hak Milik,jl. pekayon,Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 160 m2,2685000000,Rumah,160,134,4,3,2,SHM - Sertifikat Hak Milik,Lenteng agung,Pasar Minggu,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",4 KT - 3 KM - 110 m2,2150000000,Rumah,110,71,4,3,2,SHM - Sertifikat Hak Milik,Pesanggrahan jakarta selatan,Kebayoran Baru,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",6 KT - 3 KM - 200 m2,4800000000,Rumah,200,300,6,3,2,SHM - Sertifikat Hak Milik,bintaro sektor 1,Pesanggrahan,Jakarta Selatan,0,0,1
"Pancoran, Jakarta Selatan",6 KT - 5 KM - 260 m2,8000000000,Rumah,260,596,6,5,1,SHM - Sertifikat Hak Milik,daerah warung buncit jakarta selatan,Pancoran,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",2 KT - 1 KM - 38 m2,650000000,Rumah,38,72,2,1,1,SHM - Sertifikat Hak Milik,Arcamanik Antapani Bandung Timur,Cilandak,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",8 KT - 4 KM - 120 m2,870000000,Rumah,120,60,8,4,2,SHM - Sertifikat Hak Milik,Mampang,Mampang Prapatan,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",8 KT - 4 KM - 120 m2,870000000,Rumah,120,60,8,4,2,SHM - Sertifikat Hak Milik,Mampang,Mampang Prapatan,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",5 KT - 4 KM - 520 m2,8500000000,Rumah,520,425,5,4,2,SHM - Sertifikat Hak Milik,jl. bangka XI,Mampang Prapatan,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",3 KT - 3 KM - 42 m2,300000000,Rumah,42,22,3,3,2,"Lainnya (PPJB, Girik, Adat, dll)","Jl bangka 2 , mampang jkt selatan 081282993782",Mampang Prapatan,Jakarta Selatan,0,1,0
"Mampang Prapatan, Jakarta Selatan",8 KT - 4 KM - 120 m2,870000000,Rumah,120,60,8,4,2,SHM - Sertifikat Hak Milik,Mampang,Mampang Prapatan,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",8 KT - 4 KM - 120 m2,870000000,Rumah,120,60,8,4,2,SHM - Sertifikat Hak Milik,Mampang,Mampang Prapatan,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",2 KT - 2 KM - 104 m2,870000000,Rumah,104,84,2,2,2,SHM - Sertifikat Hak Milik,"Pesanggrahan, Jakarta Selatan",Pesanggrahan,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",2 KT - 2 KM - 104 m2,870000000,Rumah,104,84,2,2,2,SHM - Sertifikat Hak Milik,"Petukangan Utara, Jakarta Selatan",Pesanggrahan,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",2 KT - 2 KM - 104 m2,870000000,Rumah,104,84,2,2,2,SHM - Sertifikat Hak Milik,"Pesanggrahan, Jakarta Selatan",Pesanggrahan,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",4 KT - 3 KM - 230 m2,2950000000,Rumah,230,135,4,3,2,SHM - Sertifikat Hak Milik,"Cilandak Barat, Jakarta Selatan",Cilandak,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",5 KT - 4 KM - 179 m2,3700000000,Rumah,179,136,5,4,2,SHM - Sertifikat Hak Milik,"pasar minggu,jakarta selatan",Pasar Minggu,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",2 KT - 1 KM - 40 m2,517000000,Rumah,40,65,2,1,1,SHM - Sertifikat Hak Milik,Citayam ( 5 menit dari stasiun krl citayam ),Cilandak,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 115 m2,1750000000,Rumah,115,112,3,3,2,SHM - Sertifikat Hak Milik,Pondok cabe tangerang selatan dekat sout city,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 73 m2,1100000000,Rumah,73,62,3,2,2,SHM - Sertifikat Hak Milik,Cinangka pondok cabe dekat sout city,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 70 m2,1300000000,Rumah,70,106,3,2,2,SHM - Sertifikat Hak Milik,Cinangka pondok cabe dekat pondok cabe golf,Kebayoran Baru,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",3 KT - 3 KM - 335 m2,5500000000,Rumah,335,428,3,3,2,SHM - Sertifikat Hak Milik,JL PERTANIAN I,Cilandak,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",4 KT - 4 KM - 260 m2,3950000000,Rumah,260,221,4,4,2,SHM - Sertifikat Hak Milik,Jl. Samali Ujung 2 RT OO5 RW O9,Pasar Minggu,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",3 KT - 2 KM - 84 m2,1000000000,Rumah,84,90,3,2,2,SHM - Sertifikat Hak Milik,Jl Raya Provinsi Kemang Bogor,Mampang Prapatan,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",4 KT - 3 KM - 120 m2,2150000000,Rumah,120,71,4,3,3,SHM - Sertifikat Hak Milik,Pesanggrahan jakarta selatan,Pesanggrahan,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 72 m2,725000000,Rumah,72,61,3,3,2,SHM - Sertifikat Hak Milik,Permata pamulang tangerang selatan dekat unpam viktor,Kebayoran Baru,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",4 KT - 4 KM - 156 m2,2800000000,Rumah,156,92,4,4,2,SHM - Sertifikat Hak Milik,"daerah poltangan,pejaten timur,jakarta selatan",Cilandak,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 70 m2,1000000000,Rumah,70,60,3,2,2,SHM - Sertifikat Hak Milik,Ciater BSD dekat tol BSD,Kebayoran Baru,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",4 KT - 4 KM - 160 m2,2500000000,Rumah,160,86,4,4,2,SHM - Sertifikat Hak Milik,Jagakarsa,Cilandak,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",4 KT - 4 KM - 180 m2,3000000000,Rumah,180,107,4,4,2,SHM - Sertifikat Hak Milik,"daerah pejaten timur,jakarta selatan",Cilandak,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 72 m2,1400000000,Rumah,72,72,3,2,2,SHM - Sertifikat Hak Milik,Benda pamulang tangerang selatan dekat kantor walikota,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",4 KT - 4 KM - 80 m2,1500000000,Rumah,80,72,4,4,2,SHM - Sertifikat Hak Milik,Benda pamulang dekat kantor walikota tangsel,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",2 KT - 2 KM - 52 m2,1100000000,Rumah,52,73,2,2,2,SHM - Sertifikat Hak Milik,Lokasi benda pamulang dekat kantor walikota tangerang selatan,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 97 m2,1800000000,Rumah,97,78,3,3,2,SHM - Sertifikat Hak Milik,Area bintaro dekat stasiun jurang mangu,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 69 m2,1150000000,Rumah,69,60,3,2,2,SHM - Sertifikat Hak Milik,Lengkong wetan BSD dekat tol jelupang,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 84 m2,2147000000,Rumah,84,66,3,2,2,SHM - Sertifikat Hak Milik,Reampoa dekat MRT lebak bulus,Kebayoran Baru,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",2 KT - 1 KM - 72 m2,1250000000,Rumah,72,72,2,1,1,SHM - Sertifikat Hak Milik,"Bintaro permai 3 no.19 Rt. 002/009, Bintaro, Pesanggrahan, Jakarta selatan",Pesanggrahan,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",3 KT - 2 KM - 110 m2,1000000000,Rumah,110,55,3,2,2,SHM - Sertifikat Hak Milik,"Jl. H. Sakim, Petukangan Utara, Jakarta Selatan",Pesanggrahan,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",5 KT - 2 KM - 625 m2,18547400000,Rumah,625,624,5,2,2,HGB - Hak Guna Bangun,"Perum. Casamora No. C8 RT.003 RW.013, Kel. Cilandak Barat, Kec. Cilandak, Jakarta Selatan",Cilandak,Jakarta Selatan,1,0,0
"Kebayoran Baru, Jakarta Selatan",3 KT - 2 KM - 86 m2,1750000000,Rumah,86,60,3,2,2,SHM - Sertifikat Hak Milik,Bintaro sektor 2 dekat tol veteran,Kebayoran Baru,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",2 KT - 2 KM - 75 m2,800000000,Rumah,75,72,2,2,2,SHM - Sertifikat Hak Milik,Cileungsi,Cilandak,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",5 KT - 4 KM - 380 m2,3650000000,Rumah,380,220,5,4,2,SHM - Sertifikat Hak Milik,Depok,Cilandak,Jakarta Selatan,0,0,1
"Pancoran, Jakarta Selatan",3 KT - 2 KM - 100 m2,2800000000,Rumah,100,100,3,2,2,SHM - Sertifikat Hak Milik,Tebet Barat dalam dalam VIH,Pancoran,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",5 KT - 4 KM - 179 m2,3700000000,Rumah,179,136,5,4,2,SHM - Sertifikat Hak Milik,Pasar Minggu Jakarta Selatan,Pasar Minggu,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",2 KT - 1 KM - 56 m2,1200000000,Rumah,56,64,2,1,2,SHM - Sertifikat Hak Milik,Cimanggis Depok,Mampang Prapatan,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",3 KT - 2 KM - 70 m2,800000000,Rumah,70,60,3,2,2,SHM - Sertifikat Hak Milik,Pamulang Tangsel,Mampang Prapatan,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",4 KT - 5 KM - 190 m2,2500000000,Rumah,190,109,4,5,2,SHM - Sertifikat Hak Milik,Jln.kecapi 3 jagakarsa,Pasar Minggu,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",5 KT - 3 KM - 250 m2,6700000000,Rumah,250,365,5,3,2,SHM - Sertifikat Hak Milik,Jl.Kesehatan 2 No.20 Bintaro Jakarta Selatan,Pesanggrahan,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",3 KT - 2 KM - 45 m2,600000088,Rumah,45,65,3,2,2,SHM - Sertifikat Hak Milik,jl lengkong wetan dekat polres bsd serpong,Mampang Prapatan,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",3 KT - 2 KM - 45 m2,600000088,Rumah,45,65,3,2,2,SHM - Sertifikat Hak Milik,jl lengkong wetan dekat polres bsd serpong,Pasar Minggu,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",1 KT - 1 KM - 100 m2,1100000000,Rumah,100,94,1,1,1,SHM - Sertifikat Hak Milik,Cilandak Dalam I,Cilandak,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 160 m2,2685000000,Rumah,160,134,4,3,2,SHM - Sertifikat Hak Milik,"LENTENG AGUNG , JAKARTA SELATAN",Pasar Minggu,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",3 KT - 2 KM - 45 m2,600000088,Rumah,45,65,3,2,2,SHM - Sertifikat Hak Milik,jl lengkong wetan dekat polres bsd serpong,Pesanggrahan,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",3 KT - 2 KM - 45 m2,700000000,Rumah,45,67,3,2,2,SHM - Sertifikat Hak Milik,jalan sukadamai v bintaro dekat UPJ,Cilandak,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",3 KT - 2 KM - 110 m2,1400000000,Rumah,110,109,3,2,2,SHM - Sertifikat Hak Milik,perumahan puri pakkita 2 kel.pertukangan utara kec.pesanggrahan kota jakarta selatan,Pesanggrahan,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",7 KT - 7 KM - 280 m2,7400000000,Rumah,280,339,7,7,1,SHM - Sertifikat Hak Milik,Cilandak Barat,Cilandak,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",4 KT - 4 KM - 330 m2,9900000000,Rumah,330,144,4,4,3,SHM - Sertifikat Hak Milik,Pondok Indah Jakarta Selatan,Kebayoran Lama,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",5 KT - 5 KM - 244 m2,5850000000,Rumah,244,120,5,5,2,SHM - Sertifikat Hak Milik,Jakarta Selatan,Pesanggrahan,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",8 KT - 4 KM - 100 m2,700000000,Rumah,100,120,8,4,1,SHM - Sertifikat Hak Milik,Jl hos cokrominoto cileduk depan ramayana tyo wa 081290906962,Kebayoran Lama,Jakarta Selatan,0,0,1
"Cilandak, Jakarta Selatan",3 KT - 2 KM - 180 m2,2700000000,Rumah,180,205,3,2,1,HGB - Hak Guna Bangun,Cibubur,Cilandak,Jakarta Selatan,1,0,0
"Kebayoran Baru, Jakarta Selatan",4 KT - 5 KM - 120 m2,2580000000,Rumah,120,85,4,5,2,SHM - Sertifikat Hak Milik,Pejaten Pasar Minggu Jakarta Selatan,Kebayoran Baru,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",4 KT - 4 KM - 240 m2,4700000000,Rumah,240,168,4,4,2,SHM - Sertifikat Hak Milik,Jl. Sahid Pejaten Barat Psr Minggu,Pasar Minggu,Jakarta Selatan,0,0,1
"Mampang Prapatan, Jakarta Selatan",3 KT - 3 KM - 338 m2,9800000000,Rumah,338,306,3,3,3,SHM - Sertifikat Hak Milik,"Komplek Town House Taman Kemang, Jalan Kemang II No. 15, Kelurahan Bangka, Kecamatan Mampang Prapatan, Jakarta Selatan",Mampang Prapatan,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",2 KT - 2 KM - 126 m2,1275000000,Rumah,126,86,2,2,2,SHM - Sertifikat Hak Milik,Jl. H Aminah,Kebayoran Baru,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",4 KT - 2 KM - 200 m2,4500000000,Rumah,200,300,4,2,1,SHM - Sertifikat Hak Milik,"Perumahan di Rempoa, Jaksel",Pesanggrahan,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 220 m2,11500000000,Rumah,220,580,3,3,1,SHM - Sertifikat Hak Milik,Unknown,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",4 KT - 4 KM - 600 m2,15000000000,Rumah,600,201,4,4,1,SHM - Sertifikat Hak Milik,Unknown,Kebayoran Lama,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",5 KT - 3 KM - 260 m2,2800000000,Rumah,260,90,5,3,1,SHM - Sertifikat Hak Milik,Unknown,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Baru, Jakarta Selatan",3 KT - 3 KM - 125 m2,3500000000,Rumah,125,144,3,3,1,SHM - Sertifikat Hak Milik,Unknown,Kebayoran Baru,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",5 KT - 4 KM - 500 m2,20500000000,Rumah,500,560,5,4,2,SHM - Sertifikat Hak Milik,Pondok Indah Jaksel,Kebayoran Lama,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",4 KT - 3 KM - 140 m2,2500000000,Rumah,140,240,4,3,1,SHM - Sertifikat Hak Milik,Pejaten timur psr.minggu jak-sel,Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",7 KT - 6 KM - 670 m2,18000000000,Rumah,670,660,7,6,2,SHM - Sertifikat Hak Milik,"ampera,jakarta selatan",Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",3 KT - 3 KM - 160 m2,2000000000,Rumah,160,135,3,3,2,SHM - Sertifikat Hak Milik,Jatipadang jak-sel,Pasar Minggu,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",2 KT - 2 KM - 80 m2,1400000000,Rumah,80,111,2,2,1,SHM - Sertifikat Hak Milik,Jl pertanian 3A pasar minggu 37,Pasar Minggu,Jakarta Selatan,0,0,1
"Pesanggrahan, Jakarta Selatan",4 KT - 3 KM - 110 m2,2150000000,Rumah,110,71,4,3,3,SHM - Sertifikat Hak Milik,Area jalan M saidi Pesangggrahan Jak Sel,Pesanggrahan,Jakarta Selatan,0,0,1
"Pasar Minggu, Jakarta Selatan",5 KT - 4 KM - 134 m2,2850000000,Rumah,134,113,5,4,2,SHM - Sertifikat Hak Milik,The Enclave Jl Joe No 9 Kav 25 Kebagusan Pasar Minggu Jakarta Selatan,Pasar Minggu,Jakarta Selatan,0,0,1
"Kebayoran Lama, Jakarta Selatan",4 KT - 3 KM - 120 m2,2500000000,Rumah,120,58,4,3,3,SHM - Sertifikat Hak Milik,Praja Pondok Indah Jakarta Selatan,Kebayoran Lama,Jakarta Selatan,0,0,1
